year,month_num,month_abb,chapter,commodity,value_thousand_usd
2019,10,Oct,95,"Toys, games and sports requisites; parts and accessories thereof.",3752.75488
2019,10,Oct,99,Others,34825.45472
2019,9,Sep,8,Edible fruits and nuts; peel of citrus fruit or melons.,5063.45109
2019,9,Sep,10,Cereals.,38168.37244
2019,9,Sep,17,Sugars and sugar confectionery.,3445.60248
2019,9,Sep,39,Plastics and articles thereof.,20218.9887
2019,9,Sep,40,Rubber and articles thereof.,17912.99461
2019,9,Sep,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut).",93726.02628
2019,9,Sep,43,Furskins and artificial fur; manufactures thereof.,13260.06542
2019,9,Sep,44,Wood and articles of wood; wood charcoal.,12586.34813
2019,9,Sep,61,"Articles of apparel and clothing accessories, knitted or crocheted.",490939.3238
2019,9,Sep,62,"Articles of apparel and clothing accessories, not knitted or crocheted.",164148.2928
2019,9,Sep,63,Other made up textile articles; sets; worn clothing and worn textile articles; rags.,10004.37025
2019,9,Sep,64,"Footwear, gaiters and the like; parts of such articles.",82797.57392
2019,9,Sep,71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin.",56824.36975
2019,9,Sep,73,Articles of iron or steel.,4038.94272
2019,9,Sep,76,Aluminium and articles thereof,3122.89818
2019,9,Sep,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",9584.54987
2019,9,Sep,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",44269.18172
2019,9,Sep,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",32903.83997
2019,9,Sep,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings.",60655.71999
2019,9,Sep,95,"Toys, games and sports requisites; parts and accessories thereof.",3763.5075
2019,9,Sep,99,Others,35983.99837
2019,8,Aug,8,Edible fruits and nuts; peel of citrus fruit or melons.,5195.96042
2019,8,Aug,10,Cereals.,26955.23042
2019,8,Aug,11,Products of the milling industry; malt; starches; inulin; wheat gluten.,4046.03473
2019,8,Aug,17,Sugars and sugar confectionery.,10791.18158
2019,8,Aug,39,Plastics and articles thereof.,22507.8263
2019,8,Aug,40,Rubber and articles thereof.,22876.27499
2019,8,Aug,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut).",114262.3714
2019,8,Aug,43,Furskins and artificial fur; manufactures thereof.,53053.75222
2019,8,Aug,44,Wood and articles of wood; wood charcoal.,18740.01282
2019,8,Aug,61,"Articles of apparel and clothing accessories, knitted or crocheted.",730239.7126
2019,8,Aug,62,"Articles of apparel and clothing accessories, not knitted or crocheted.",242624.9519
2019,8,Aug,63,Other made up textile articles; sets; worn clothing and worn textile articles; rags.,15308.95107
2019,8,Aug,64,"Footwear, gaiters and the like; parts of such articles.",120373.4908
2019,8,Aug,71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin.",84133.65803
2019,8,Aug,73,Articles of iron or steel.,4485.58694
2019,8,Aug,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",11383.64638
2019,8,Aug,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",56719.86037
2019,8,Aug,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",44438.08553
2019,8,Aug,94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified or included; illuminated signs, illuminated name-plates and the like; prefabricated buildings.",73003.18662
2019,8,Aug,95,"Toys, games and sports requisites; parts and accessories thereof.",4497.13977
2019,8,Aug,99,Others,36943.15264
2019,7,Jul,8,Edible fruits and nuts; peel of citrus fruit or melons.,4683.60383
2019,7,Jul,10,Cereals.,20185.48482
2019,7,Jul,11,Products of the milling industry; malt; starches; inulin; wheat gluten.,3215.3264
2019,7,Jul,17,Sugars and sugar confectionery.,6923.166
2019,7,Jul,39,Plastics and articles thereof.,23432.54144
2019,7,Jul,40,Rubber and articles thereof.,20069.41156
2019,7,Jul,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut).",97370.76434
2019,7,Jul,43,Furskins and artificial fur; manufactures thereof.,45894.96007
2019,7,Jul,44,Wood and articles of wood; wood charcoal.,13174.69034
2019,7,Jul,61,"Articles of apparel and clothing accessories, knitted or crocheted.",622856.9804
2019,7,Jul,62,"Articles of apparel and clothing accessories, not knitted or crocheted.",211806.6357
2019,7,Jul,63,Other made up textile articles; sets; worn clothing and worn textile articles; rags.,10663.29345
2019,7,Jul,64,"Footwear, gaiters and the like; parts of such articles.",112665.5563
2019,7,Jul,71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin.",102348.938
