year,month_num,month_abb,chapter,commodity,value_thousand_usd
2024,7,Jul,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances;mineral waxes.",331895.2654
2024,7,Jul,31,Fertilisers.,48208.85065
2024,7,Jul,38,Miscellaneous chemical products.,52979.95133
2024,7,Jul,39,Plastics and articles thereof.,120596.7047
2024,7,Jul,40,Rubber and articles thereof.,52821.78604
2024,7,Jul,41,Raw hides and skins (other than furskins) and leather.,38354.05811
2024,7,Jul,43,Furskins and artificial fur; manufactures thereof.,80395.30621
2024,7,Jul,44,Wood and articles of wood; wood charcoal.,33991.7519
2024,7,Jul,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard.",65161.28347
2024,7,Jul,52,Cotton,58338.34509
2024,7,Jul,55,Man- made staple fibres.,95844.32891
2024,7,Jul,60,Knitted or crocheted fabrics.,300166.4807
2024,7,Jul,72,Iron and steel.,56462.79262
2024,7,Jul,73,Articles of iron or steel.,63831.857
2024,7,Jul,76,Aluminium and articles thereof,77597.59532
2024,7,Jul,83,Miscellaneous articles of base metal.,35697.63617
2024,7,Jul,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",179112.2642
2024,7,Jul,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",159856.0308
2024,7,Jul,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",133737.6904
2024,7,Jul,99,Others,607362.708
2024,6,Jun,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances;mineral waxes.",326297.1797
2024,6,Jun,31,Fertilisers.,40596.25967
2024,6,Jun,38,Miscellaneous chemical products.,73926.70006
2024,6,Jun,39,Plastics and articles thereof.,103044.6094
2024,6,Jun,40,Rubber and articles thereof.,38152.84385
2024,6,Jun,43,Furskins and artificial fur; manufactures thereof.,113833.8187
2024,6,Jun,44,Wood and articles of wood; wood charcoal.,32494.46709
2024,6,Jun,48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard.",62950.33558
2024,6,Jun,52,Cotton,59384.95256
2024,6,Jun,55,Man- made staple fibres.,99494.39515
2024,6,Jun,60,Knitted or crocheted fabrics.,303827.7027
2024,6,Jun,72,Iron and steel.,57867.55036
2024,6,Jun,73,Articles of iron or steel.,55808.23595
2024,6,Jun,76,Aluminium and articles thereof,71024.57785
2024,6,Jun,83,Miscellaneous articles of base metal.,30654.27406
2024,6,Jun,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof.",149663.5759
2024,6,Jun,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles.",168799.3877
2024,6,Jun,87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof.",132541.2676
2024,6,Jun,89,"Ships, boats and floating structures.",34545.14945
2024,6,Jun,96,Miscellaneous manufactured articles.,29141.14029
2024,6,Jun,99,Others,546199.8738
2024,5,May,23,Residues and waste from the food industries; prepared animal fodder.,34275.33355
2024,5,May,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances;mineral waxes.",367463.6285
2024,5,May,31,Fertilisers.,36576.73436
2024,5,May,38,Miscellaneous chemical products.,67830.32976
2024,5,May,39,Plastics and articles thereof.,125850.7495
2024,5,May,40,Rubber and articles thereof.,41371.52016
